Vertex id=0 8(1), 82(3), 1(4), 27(5), 44(5)
Vertex id=1 1(0), 8(3), 44(3), 73(3), 60(4)
Vertex id=2 44(2), 1(3), 60(3), 77(3), 86(3)
Vertex id=3 27(2), 60(3), 82(3), 73(4), 77(5)
Vertex id=4 86(1), 1(4), 8(4), 44(4), 27(5)
Vertex id=5 86(3), 27(4), 44(4), 73(4), 1(5)
Vertex id=6 60(4), 77(4), 82(4), 86(4), 27(5)
Vertex id=7 8(1), 1(3), 27(3), 82(4), 86(4)
Vertex id=8 8(0), 1(3), 27(4), 82(4), 73(5)
Vertex id=9 73(2), 8(3), 1(4), 44(4), 82(4)
Vertex id=10 1(3), 44(3), 77(3), 86(3), 27(4)
Vertex id=11 86(2), 44(3), 1(4), 60(4), 77(4)
Vertex id=12 44(2), 82(2), 77(3), 1(4), 8(4)
Vertex id=13 27(1), 60(4), 8(5), 73(5), 86(5)
Vertex id=14 77(2), 44(3), 82(4), 8(5), 27(5)
Vertex id=15 73(2), 27(4), 1(5), 8(5), 60(5)
Vertex id=16 77(2), 27(3), 44(3), 1(4), 82(4)
Vertex id=17 44(1), 77(2), 1(3), 82(3), 8(5)
Vertex id=18 86(1), 8(5), 82(5), 1(6), 27(6)
Vertex id=19 73(2), 60(3), 27(4), 86(4), 1(5)
Vertex id=20 1(2), 8(2), 86(3), 27(4), 44(5)
Vertex id=21 73(3), 86(4), 1(5), 27(5), 8(6)
Vertex id=22 1(1), 44(2), 73(2), 60(3), 77(3)
Vertex id=23 27(4), 44(4), 73(4), 82(4), 8(5)
Vertex id=24 8(4), 27(5), 44(5), 73(5), 82(5)
Vertex id=25 44(1), 1(2), 77(2), 73(3), 60(4)
Vertex id=26 82(1), 8(3), 44(3), 77(3), 1(5)
Vertex id=27 27(0), 60(3), 8(4), 73(4), 77(5)
Vertex id=28 73(1), 1(4), 8(4), 60(4), 27(5)
Vertex id=29 60(3), 27(4), 73(4), 77(4), 1(5)
Vertex id=30 86(2), 1(4), 44(4), 77(4), 27(5)
Vertex id=31 27(3), 82(4), 86(4), 73(5), 60(6)
Vertex id=32 1(2), 8(4), 44(4), 73(5), 77(5)
Vertex id=33 8(2), 82(2), 44(4), 77(4), 86(4)
Vertex id=34 82(2), 27(3), 60(4), 77(4), 8(5)
Vertex id=35 60(2), 44(3), 1(4), 77(4), 82(4)
Vertex id=36 86(3), 27(4), 60(5), 77(5), 82(5)
Vertex id=37 27(1), 60(2), 73(3), 82(4), 8(5)
Vertex id=38 86(3), 1(4), 8(4), 73(5), 82(5)
Vertex id=39 8(2), 82(4), 1(5), 77(5), 27(6)
Vertex id=40 86(3), 27(4), 82(4), 8(5), 60(5)
Vertex id=41 1(2), 44(2), 77(3), 82(4), 86(4)
Vertex id=42 27(3), 73(3), 86(3), 1(4), 8(4)
Vertex id=43 27(2), 73(4), 60(5), 82(5), 86(5)
Vertex id=44 44(0), 77(1), 1(3), 82(3), 73(4)
Vertex id=45 60(4), 82(4), 27(5), 44(5), 77(5)
Vertex id=46 60(2), 27(3), 73(3), 1(4), 44(5)
Vertex id=47 8(2), 1(3), 73(3), 44(5), 82(5)
Vertex id=48 27(1), 8(3), 60(4), 77(4), 82(4)
Vertex id=49 27(3), 73(3), 86(4), 44(5), 1(6)
Vertex id=50 77(3), 44(4), 82(5), 86(5), 8(6)
Vertex id=51 27(3), 73(3), 60(4), 77(4), 8(5)
Vertex id=52 86(2), 1(5), 8(5), 27(5), 60(6)
Vertex id=53 86(2), 8(4), 82(4), 1(5), 44(6)
Vertex id=54 8(2), 27(2), 82(3), 1(4), 86(4)
Vertex id=55 82(1), 77(3), 8(4), 27(4), 44(4)
Vertex id=56 82(3), 27(4), 60(5), 77(5), 86(5)
Vertex id=57 8(5), 27(6), 44(6), 60(6), 73(6)
Vertex id=58 60(1), 77(3), 82(3), 27(4), 44(4)
Vertex id=59 27(2), 60(3), 73(4), 86(4), 1(5)
Vertex id=60 60(0), 27(3), 73(3), 1(4), 77(4)
Vertex id=61 60(3), 27(4), 44(4), 1(5), 77(5)
Vertex id=62 77(4), 8(5), 44(5), 82(6), 86(6)
Vertex id=63 60(3), 77(3), 82(3), 44(4), 86(5)
Vertex id=64 60(1), 27(2), 73(2), 1(5), 77(5)
Vertex id=65 60(4), 77(4), 82(4), 1(5), 44(5)
Vertex id=66 60(1), 73(2), 1(3), 27(4), 44(4)
Vertex id=67 1(1), 8(2), 44(4), 73(4), 86(4)
Vertex id=68 27(3), 60(4), 82(4), 86(4), 44(5)
Vertex id=69 73(1), 60(2), 27(3), 1(4), 44(5)
Vertex id=70 86(3), 73(4), 1(5), 8(5), 44(5)
Vertex id=71 1(1), 44(3), 8(4), 73(4), 77(4)
Vertex id=72 27(2), 77(3), 8(4), 44(4), 73(4)
Vertex id=73 73(0), 1(3), 60(3), 27(4), 44(4)
Vertex id=74 1(4), 73(4), 8(5), 60(5), 77(5)
Vertex id=75 77(1), 82(1), 44(2), 60(3), 1(5)
Vertex id=76 60(2), 77(2), 82(2), 44(3), 27(5)
Vertex id=77 77(0), 44(1), 82(2), 1(4), 60(4)
Vertex id=78 86(2), 82(3), 8(4), 27(4), 77(5)
Vertex id=79 1(3), 8(3), 73(4), 86(4), 44(5)
Vertex id=80 82(2), 8(3), 27(3), 86(3), 77(4)
Vertex id=81 8(5), 77(5), 82(5), 86(5), 44(6)
Vertex id=82 82(0), 77(2), 44(3), 8(4), 60(4)
Vertex id=83 8(3), 82(5), 1(6), 27(6), 44(6)
Vertex id=84 73(1), 1(2), 60(2), 44(3), 77(4)
Vertex id=85 8(4), 82(4), 86(4), 73(5), 1(6)
Vertex id=86 86(0), 1(5), 8(5), 44(5), 82(5)
Vertex id=87 8(3), 82(3), 86(3), 44(5), 77(5)
Vertex id=88 86(1), 82(4), 1(5), 8(5), 27(5)
Vertex id=89 8(3), 1(4), 77(4), 44(5), 60(5)
Vertex id=90 60(5), 8(6), 27(6), 73(6), 77(6)
Vertex id=91 86(2), 1(3), 8(3), 27(4), 73(4)
Vertex id=92 8(1), 1(2), 73(4), 27(5), 44(5)
Vertex id=93 77(1), 44(2), 82(3), 27(4), 1(5)
Vertex id=94 1(3), 8(4), 44(5), 73(5), 77(5)
Vertex id=95 77(4), 86(4), 27(5), 44(5), 73(5)
Vertex id=96 77(3), 8(4), 44(4), 60(4), 1(5)
Vertex id=97 8(4), 77(5), 44(6), 82(6), 1(7)
Vertex id=98 60(4), 27(5), 73(5), 77(5), 82(5)
Vertex id=99 44(3), 73(3), 82(3), 8(4), 77(4)
