Vertex id=0 8(1) [0-8], 82(3) [0-33-26-82], 1(4) [0-8-92-67-1], 27(5) [0-8-7-54-48-27], 44(5) [0-33-26-12-17-44]
Vertex id=1 1(0) [1], 8(3) [1-67-92-8], 44(3) [1-22-25-44], 73(3) [1-22-84-73], 60(4) [1-22-84-66-60]
Vertex id=2 44(2) [2-25-44], 1(3) [2-25-22-1], 60(3) [2-35-58-60], 77(3) [2-25-44-77], 86(3) [2-11-4-86]
Vertex id=3 27(2) [3-37-27], 60(3) [3-37-64-60], 82(3) [3-34-55-82], 73(4) [3-37-64-69-73], 77(5) [3-34-55-82-75-77]
Vertex id=4 86(1) [4-86], 1(4) [4-91-20-67-1], 8(4) [4-91-20-7-8], 44(4) [4-11-2-25-44], 27(5) [4-91-42-59-13-27]
Vertex id=5 86(3) [5-11-4-86], 27(4) [5-49-43-13-27], 44(4) [5-11-2-25-44], 73(4) [5-49-15-28-73], 1(5) [5-11-2-25-22-1]
Vertex id=6 60(4) [6-63-76-58-60], 77(4) [6-63-76-75-77], 82(4) [6-63-76-75-82], 86(4) [6-36-52-18-86], 27(5) [6-36-31-43-13-27]
Vertex id=7 8(1) [7-8], 1(3) [7-20-67-1], 27(3) [7-54-48-27], 82(4) [7-54-80-55-82], 86(4) [7-20-91-4-86]
Vertex id=8 8(0) [8], 1(3) [8-92-67-1], 27(4) [8-7-54-48-27], 82(4) [8-0-33-26-82], 73(5) [8-92-47-9-28-73]
Vertex id=9 73(2) [9-28-73], 8(3) [9-47-92-8], 1(4) [9-47-92-67-1], 44(4) [9-99-12-17-44], 82(4) [9-99-12-26-82]
Vertex id=10 1(3) [10-41-71-1], 44(3) [10-41-17-44], 77(3) [10-16-93-77], 86(3) [10-30-88-86], 27(4) [10-16-72-48-27]
Vertex id=11 86(2) [11-4-86], 44(3) [11-2-25-44], 1(4) [11-2-25-22-1], 60(4) [11-2-35-58-60], 77(4) [11-2-25-44-77]
Vertex id=12 44(2) [12-17-44], 82(2) [12-26-82], 77(3) [12-17-44-77], 1(4) [12-17-41-71-1], 8(4) [12-26-33-0-8]
Vertex id=13 27(1) [13-27], 60(4) [13-27-37-64-60], 8(5) [13-27-48-54-7-8], 73(5) [13-27-37-64-69-73], 86(5) [13-59-42-91-4-86]
Vertex id=14 77(2) [14-93-77], 44(3) [14-93-77-44], 82(4) [14-93-77-75-82], 8(5) [14-96-89-39-0-8], 27(5) [14-93-16-72-48-27]
Vertex id=15 73(2) [15-28-73], 27(4) [15-49-43-13-27], 1(5) [15-28-73-84-22-1], 8(5) [15-28-9-47-92-8], 60(5) [15-28-73-69-64-60]
Vertex id=16 77(2) [16-93-77], 27(3) [16-72-48-27], 44(3) [16-93-77-44], 1(4) [16-10-41-71-1], 82(4) [16-93-77-75-82]
Vertex id=17 44(1) [17-44], 77(2) [17-44-77], 1(3) [17-41-71-1], 82(3) [17-12-26-82], 8(5) [17-12-26-33-0-8]
Vertex id=18 86(1) [18-86], 8(5) [18-53-87-33-0-8], 82(5) [18-53-87-33-26-82], 1(6) [18-53-38-79-32-71-1], 27(6) [18-52-36-31-43-13-27]
Vertex id=19 73(2) [19-69-73], 60(3) [19-69-64-60], 27(4) [19-51-72-48-27], 86(4) [19-42-91-4-86], 1(5) [19-42-91-20-67-1]
Vertex id=20 1(2) [20-67-1], 8(2) [20-7-8], 86(3) [20-91-4-86], 27(4) [20-7-54-48-27], 44(5) [20-67-1-22-25-44]
Vertex id=21 73(3) [21-15-28-73], 86(4) [21-70-30-88-86], 1(5) [21-74-94-32-71-1], 27(5) [21-15-49-43-13-27], 8(6) [21-74-94-89-39-0-8]
Vertex id=22 1(1) [22-1], 44(2) [22-25-44], 73(2) [22-84-73], 60(3) [22-84-66-60], 77(3) [22-25-44-77]
Vertex id=23 27(4) [23-51-72-48-27], 44(4) [23-99-12-17-44], 73(4) [23-51-19-69-73], 82(4) [23-99-12-26-82], 8(5) [23-24-83-39-0-8]
Vertex id=24 8(4) [24-83-39-0-8], 27(5) [24-23-51-72-48-27], 44(5) [24-23-99-12-17-44], 73(5) [24-23-51-19-69-73], 82(5) [24-23-99-12-26-82]
Vertex id=25 44(1) [25-44], 1(2) [25-22-1], 77(2) [25-44-77], 73(3) [25-22-84-73], 60(4) [25-22-84-66-60]
Vertex id=26 82(1) [26-82], 8(3) [26-33-0-8], 44(3) [26-12-17-44], 77(3) [26-82-75-77], 1(5) [26-12-17-41-71-1]
Vertex id=27 27(0) [27], 60(3) [27-37-64-60], 8(4) [27-48-54-7-8], 73(4) [27-37-64-69-73], 77(5) [27-48-72-16-93-77]
Vertex id=28 73(1) [28-73], 1(4) [28-73-84-22-1], 8(4) [28-9-47-92-8], 60(4) [28-73-69-64-60], 27(5) [28-73-69-64-37-27]
Vertex id=29 60(3) [29-46-66-60], 27(4) [29-46-59-13-27], 73(4) [29-46-66-84-73], 77(4) [29-96-14-93-77], 1(5) [29-46-66-84-22-1]
Vertex id=30 86(2) [30-88-86], 1(4) [30-10-41-71-1], 44(4) [30-10-41-17-44], 77(4) [30-10-16-93-77], 27(5) [30-10-16-72-48-27]
Vertex id=31 27(3) [31-43-13-27], 82(4) [31-56-34-55-82], 86(4) [31-36-52-18-86], 73(5) [31-43-49-15-28-73], 60(6) [31-56-34-3-37-64-60]
Vertex id=32 1(2) [32-71-1], 8(4) [32-79-47-92-8], 44(4) [32-71-41-17-44], 73(5) [32-79-47-9-28-73], 77(5) [32-71-41-17-44-77]
Vertex id=33 8(2) [33-0-8], 82(2) [33-26-82], 44(4) [33-26-12-17-44], 77(4) [33-26-82-75-77], 86(4) [33-87-53-18-86]
Vertex id=34 82(2) [34-55-82], 27(3) [34-3-37-27], 60(4) [34-3-37-64-60], 77(4) [34-55-82-75-77], 8(5) [34-55-80-54-7-8]
Vertex id=35 60(2) [35-58-60], 44(3) [35-2-25-44], 1(4) [35-2-25-22-1], 77(4) [35-2-25-44-77], 82(4) [35-58-76-75-82]
Vertex id=36 86(3) [36-52-18-86], 27(4) [36-31-43-13-27], 60(5) [36-6-63-76-58-60], 77(5) [36-6-63-76-75-77], 82(5) [36-6-63-76-75-82]
Vertex id=37 27(1) [37-27], 60(2) [37-64-60], 73(3) [37-64-69-73], 82(4) [37-3-34-55-82], 8(5) [37-27-48-54-7-8]
Vertex id=38 86(3) [38-53-18-86], 1(4) [38-79-32-71-1], 8(4) [38-79-47-92-8], 73(5) [38-79-47-9-28-73], 82(5) [38-53-87-33-26-82]
Vertex id=39 8(2) [39-0-8], 82(4) [39-0-33-26-82], 1(5) [39-89-94-32-71-1], 77(5) [39-89-96-14-93-77], 27(6) [39-0-8-7-54-48-27]
Vertex id=40 86(3) [40-78-88-86], 27(4) [40-68-3-37-27], 82(4) [40-78-80-55-82], 8(5) [40-78-80-54-7-8], 60(5) [40-68-3-37-64-60]
Vertex id=41 1(2) [41-71-1], 44(2) [41-17-44], 77(3) [41-17-44-77], 82(4) [41-17-12-26-82], 86(4) [41-10-30-88-86]
Vertex id=42 27(3) [42-59-13-27], 73(3) [42-19-69-73], 86(3) [42-91-4-86], 1(4) [42-91-20-67-1], 8(4) [42-91-20-7-8]
Vertex id=43 27(2) [43-13-27], 73(4) [43-49-15-28-73], 60(5) [43-13-27-37-64-60], 82(5) [43-31-56-34-55-82], 86(5) [43-49-5-11-4-86]
Vertex id=44 44(0) [44], 77(1) [44-77], 1(3) [44-25-22-1], 82(3) [44-77-75-82], 73(4) [44-25-22-84-73]
Vertex id=45 60(4) [45-61-35-58-60], 82(4) [45-56-34-55-82], 27(5) [45-61-68-3-37-27], 44(5) [45-61-35-2-25-44], 77(5) [45-6-63-76-75-77]
Vertex id=46 60(2) [46-66-60], 27(3) [46-59-13-27], 73(3) [46-66-84-73], 1(4) [46-66-84-22-1], 44(5) [46-66-84-22-25-44]
Vertex id=47 8(2) [47-92-8], 1(3) [47-92-67-1], 73(3) [47-9-28-73], 44(5) [47-9-99-12-17-44], 82(5) [47-9-99-12-26-82]
Vertex id=48 27(1) [48-27], 8(3) [48-54-7-8], 60(4) [48-27-37-64-60], 77(4) [48-72-16-93-77], 82(4) [48-54-80-55-82]
Vertex id=49 27(3) [49-43-13-27], 73(3) [49-15-28-73], 86(4) [49-5-11-4-86], 44(5) [49-5-11-2-25-44], 1(6) [49-5-11-2-25-22-1]
Vertex id=50 77(3) [50-14-93-77], 44(4) [50-14-93-77-44], 82(5) [50-14-93-77-75-82], 86(5) [50-95-40-78-88-86], 8(6) [50-62-97-83-39-0-8]
Vertex id=51 27(3) [51-72-48-27], 73(3) [51-19-69-73], 60(4) [51-19-69-64-60], 77(4) [51-72-16-93-77], 8(5) [51-72-48-54-7-8]
Vertex id=52 86(2) [52-18-86], 1(5) [52-38-79-32-71-1], 8(5) [52-38-79-47-92-8], 27(5) [52-36-31-43-13-27], 60(6) [52-36-6-63-76-58-60]
Vertex id=53 86(2) [53-18-86], 8(4) [53-87-33-0-8], 82(4) [53-87-33-26-82], 1(5) [53-38-79-32-71-1], 44(6) [53-87-33-26-12-17-44]
Vertex id=54 8(2) [54-7-8], 27(2) [54-48-27], 82(3) [54-80-55-82], 1(4) [54-7-20-67-1], 86(4) [54-80-78-88-86]
Vertex id=55 82(1) [55-82], 77(3) [55-82-75-77], 8(4) [55-80-54-7-8], 27(4) [55-80-54-48-27], 44(4) [55-82-75-77-44]
Vertex id=56 82(3) [56-34-55-82], 27(4) [56-34-3-37-27], 60(5) [56-34-3-37-64-60], 77(5) [56-34-55-82-75-77], 86(5) [56-31-36-52-18-86]
Vertex id=57 8(5) [57-24-83-39-0-8], 27(6) [57-24-23-51-72-48-27], 44(6) [57-24-23-99-12-17-44], 60(6) [57-90-98-29-46-66-60], 73(6) [57-24-23-51-19-69-73]
Vertex id=58 60(1) [58-60], 77(3) [58-76-75-77], 82(3) [58-76-75-82], 27(4) [58-60-64-37-27], 44(4) [58-76-75-77-44]
Vertex id=59 27(2) [59-13-27], 60(3) [59-46-66-60], 73(4) [59-42-19-69-73], 86(4) [59-42-91-4-86], 1(5) [59-42-91-20-67-1]
Vertex id=60 60(0) [60], 27(3) [60-64-37-27], 73(3) [60-64-69-73], 1(4) [60-66-84-22-1], 77(4) [60-58-76-75-77]
Vertex id=61 60(3) [61-35-58-60], 27(4) [61-68-3-37-27], 44(4) [61-35-2-25-44], 1(5) [61-35-2-25-22-1], 77(5) [61-35-2-25-44-77]
Vertex id=62 77(4) [62-50-14-93-77], 8(5) [62-97-83-39-0-8], 44(5) [62-50-14-93-77-44], 82(6) [62-50-14-93-77-75-82], 86(6) [62-50-95-40-78-88-86]
Vertex id=63 60(3) [63-76-58-60], 77(3) [63-76-75-77], 82(3) [63-76-75-82], 44(4) [63-76-75-77-44], 86(5) [63-6-36-52-18-86]
Vertex id=64 60(1) [64-60], 27(2) [64-37-27], 73(2) [64-69-73], 1(5) [64-60-66-84-22-1], 77(5) [64-60-58-76-75-77]
Vertex id=65 60(4) [65-63-76-58-60], 77(4) [65-63-76-75-77], 82(4) [65-63-76-75-82], 1(5) [65-74-94-32-71-1], 44(5) [65-63-76-75-77-44]
Vertex id=66 60(1) [66-60], 73(2) [66-84-73], 1(3) [66-84-22-1], 27(4) [66-60-64-37-27], 44(4) [66-84-22-25-44]
Vertex id=67 1(1) [67-1], 8(2) [67-92-8], 44(4) [67-1-22-25-44], 73(4) [67-1-22-84-73], 86(4) [67-20-91-4-86]
Vertex id=68 27(3) [68-3-37-27], 60(4) [68-3-37-64-60], 82(4) [68-3-34-55-82], 86(4) [68-40-78-88-86], 44(5) [68-61-35-2-25-44]
Vertex id=69 73(1) [69-73], 60(2) [69-64-60], 27(3) [69-64-37-27], 1(4) [69-73-84-22-1], 44(5) [69-73-84-22-25-44]
Vertex id=70 86(3) [70-30-88-86], 73(4) [70-21-15-28-73], 1(5) [70-30-10-41-71-1], 8(5) [70-85-87-33-0-8], 44(5) [70-30-10-41-17-44]
Vertex id=71 1(1) [71-1], 44(3) [71-41-17-44], 8(4) [71-1-67-92-8], 73(4) [71-1-22-84-73], 77(4) [71-41-17-44-77]
Vertex id=72 27(2) [72-48-27], 77(3) [72-16-93-77], 8(4) [72-48-54-7-8], 44(4) [72-16-93-77-44], 73(4) [72-51-19-69-73]
Vertex id=73 73(0) [73], 1(3) [73-84-22-1], 60(3) [73-69-64-60], 27(4) [73-69-64-37-27], 44(4) [73-84-22-25-44]
Vertex id=74 1(4) [74-94-32-71-1], 73(4) [74-21-15-28-73], 8(5) [74-94-89-39-0-8], 60(5) [74-65-63-76-58-60], 77(5) [74-65-63-76-75-77]
Vertex id=75 77(1) [75-77], 82(1) [75-82], 44(2) [75-77-44], 60(3) [75-76-58-60], 1(5) [75-77-44-25-22-1]
Vertex id=76 60(2) [76-58-60], 77(2) [76-75-77], 82(2) [76-75-82], 44(3) [76-75-77-44], 27(5) [76-58-60-64-37-27]
Vertex id=77 77(0) [77], 44(1) [77-44], 82(2) [77-75-82], 1(4) [77-44-25-22-1], 60(4) [77-75-76-58-60]
Vertex id=78 86(2) [78-88-86], 82(3) [78-80-55-82], 8(4) [78-80-54-7-8], 27(4) [78-80-54-48-27], 77(5) [78-80-55-82-75-77]
Vertex id=79 1(3) [79-32-71-1], 8(3) [79-47-92-8], 73(4) [79-47-9-28-73], 86(4) [79-38-53-18-86], 44(5) [79-32-71-41-17-44]
Vertex id=80 82(2) [80-55-82], 8(3) [80-54-7-8], 27(3) [80-54-48-27], 86(3) [80-78-88-86], 77(4) [80-55-82-75-77]
Vertex id=81 8(5) [81-85-87-33-0-8], 77(5) [81-62-50-14-93-77], 82(5) [81-85-87-33-26-82], 86(5) [81-85-70-30-88-86], 44(6) [81-62-50-14-93-77-44]
Vertex id=82 82(0) [82], 77(2) [82-75-77], 44(3) [82-75-77-44], 8(4) [82-26-33-0-8], 60(4) [82-75-76-58-60]
Vertex id=83 8(3) [83-39-0-8], 82(5) [83-39-0-33-26-82], 1(6) [83-39-89-94-32-71-1], 27(6) [83-24-23-51-72-48-27], 44(6) [83-24-23-99-12-17-44]
Vertex id=84 73(1) [84-73], 1(2) [84-22-1], 60(2) [84-66-60], 44(3) [84-22-25-44], 77(4) [84-22-25-44-77]
Vertex id=85 8(4) [85-87-33-0-8], 82(4) [85-87-33-26-82], 86(4) [85-70-30-88-86], 73(5) [85-70-21-15-28-73], 1(6) [85-70-30-10-41-71-1]
Vertex id=86 86(0) [86], 1(5) [86-4-91-20-67-1], 8(5) [86-4-91-20-7-8], 44(5) [86-4-11-2-25-44], 82(5) [86-88-78-80-55-82]
Vertex id=87 8(3) [87-33-0-8], 82(3) [87-33-26-82], 86(3) [87-53-18-86], 44(5) [87-33-26-12-17-44], 77(5) [87-33-26-82-75-77]
Vertex id=88 86(1) [88-86], 82(4) [88-78-80-55-82], 1(5) [88-30-10-41-71-1], 8(5) [88-78-80-54-7-8], 27(5) [88-78-80-54-48-27]
Vertex id=89 8(3) [89-39-0-8], 1(4) [89-94-32-71-1], 77(4) [89-96-14-93-77], 44(5) [89-96-14-93-77-44], 60(5) [89-96-29-46-66-60]
